graph_name,n_vertices,n_edges,algorithm,repetition,time_seconds,memory_mb,peak_memory_mb,cpu_seconds,mst_weight,mst_edges_count,valid,validation_msg,mem_rss_mb,mem_rss_before_mb
Grafo2,5152,7086,prim,7,0.013231399992946535,0.232208251953125,0.3502197265625,0.015625,2641212.28748726,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.39453125,29.28125
Grafo2,5152,7086,prim,8,0.013506499992217869,0.232208251953125,0.3502197265625,0.0,2641212.28748726,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.58984375,29.07421875
Grafo2,5152,7086,prim,9,0.012984600005438551,0.232208251953125,0.3502197265625,0.015625,2641212.28748726,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.4140625,29.30078125
Grafo2,5152,7086,prim,10,0.013352399997529574,0.232208251953125,0.3502197265625,0.015625,2641212.28748726,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.578125,29.09765625
Grafo2,5152,7086,kruskal,1,0.013772200007224455,0.23226165771484375,0.3650703430175781,0.0,2641212.287487262,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.25390625,29.30078125
Grafo2,5152,7086,kruskal,2,0.012991700001293793,0.23226165771484375,0.3650703430175781,0.015625,2641212.287487262,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.33984375,29.0390625
Grafo2,5152,7086,kruskal,3,0.014753600000403821,0.23226165771484375,0.3650703430175781,0.015625,2641212.287487262,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.203125,29.25
Grafo2,5152,7086,kruskal,4,0.013281699997605756,0.23226165771484375,0.3650703430175781,0.015625,2641212.287487262,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.3828125,29.00390625
Grafo2,5152,7086,kruskal,5,0.01294919999781996,0.23226165771484375,0.3650703430175781,0.015625,2641212.287487262,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.25,29.30078125
Grafo2,5152,7086,kruskal,6,0.012534800000139512,0.2322845458984375,0.3650703430175781,0.015625,2641212.287487262,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.3984375,29.1640625
Grafo2,5152,7086,kruskal,7,0.012619100001757033,0.2322845458984375,0.3650703430175781,0.015625,2641212.287487262,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.1953125,29.30078125
Grafo2,5152,7086,kruskal,8,0.012556400004541501,0.2322845458984375,0.3650703430175781,0.015625,2641212.287487262,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.390625,28.99609375
Grafo2,5152,7086,kruskal,9,0.012628000011318363,0.2322845458984375,0.3650703430175781,0.015625,2641212.287487262,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.21484375,29.30078125
Grafo2,5152,7086,kruskal,10,0.012504500002251007,0.2322845458984375,0.3650703430175781,0.0,2641212.287487262,5151,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),29.37890625,29.15234375
Grafo3,37128,54867,prim,1,0.1221092000050703,2.599609375,3.449493408203125,0.125,3061889.5787567417,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),50.71875,50.5859375
Grafo3,37128,54867,prim,2,0.1256948999944143,2.47760009765625,3.327484130859375,0.125,3061889.5787567417,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),53.1328125,51.25
Grafo3,37128,54867,prim,3,0.12185740000859369,2.47760009765625,3.327484130859375,0.125,3061889.5787567417,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),53.17578125,53.3125
Grafo3,37128,54867,prim,4,0.1293361999996705,2.4439239501953125,3.2938079833984375,0.125,3061889.5787567417,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.45703125,54.34765625
Grafo3,37128,54867,prim,5,0.13711399999738205,2.5451278686523438,3.395050048828125,0.140625,3061889.5787567417,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.00390625,53.86328125
Grafo3,37128,54867,prim,6,0.12558089999947697,2.4776229858398438,3.3275070190429688,0.125,3061889.5787567417,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.578125,54.99609375
Grafo3,37128,54867,prim,7,0.1287990999990143,2.4776229858398438,3.3275070190429688,0.125,3061889.5787567417,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),53.9765625,54.44140625
Grafo3,37128,54867,prim,8,0.13175960000080522,2.4776229858398438,3.3275070190429688,0.125,3061889.5787567417,37127,True,MST/Floresta válida (aciclicidade e cobertura por componente confirmadas),54.09375,53.50390625
